"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner","Planning_Status_Code"
"L_1382",329950,950650,"Achairn",3,2.05,6.2,"Approved","N00537W","09/06/2010","Highland","Scotland","Scotland","11/08/2004","01/04/2009","20/05/2009","Large",2004,"S01003980",6.63,45.39,5.27,2.68,300.95,"S12000017",0.78,228.97,116.51,23.66,1.49,1.2,2.31,3.69,3.69,3.69,1.74,50,2.37,7.7,8018,12,80,0,8,9,57,6,"Ind",41,0,10,11.25,71.25,7.5,643,40.2,42,526,101,19,435,10.8,266,229,86,1
"L_1383",323500,544500,"High Pow Farm (Resubmission)",3,1.3,3.9,"Approved","N00276W","04/07/2012","Cumbria","North West","England","16/07/2004",NA,"15/03/2007","Large",2004,"E01019083",29.48,8.77,8.02,2.62,40.31,"E07000026",0.23,19.78,5.69,6.82,3.88,0.2,2.47,9.7,6.76,9.69,6.66,74,0.2,6.8,901,1,56,16,27,4,9,NA,"NOC",29,28.5714285714286,48.2142857142857,7.14285714285714,16.0714285714286,NA,1832,46.7,49,1585,587,37,499,30.7,784,593,76,1
"L_1384",405416,853549,"St Fergus Moss Wind Farm",3,2,6,"Approved","A0538","22/03/2013","Grampian","Scotland","Scotland","28/06/2010","31/03/2012","18/12/2012","Large",2010,"S01000524",44.73,90.88,6.27,5.03,196.15,"S12000034",1.03,160.47,74.73,24.29,1.41,2.76,42.03,4.63,14.09,4.64,1.07,44,2.47,8.3,8001,12,43,5,10,15,1,12,"NOC",22,11.6279069767442,23.2558139534884,34.8837209302326,2.32558139534884,27.906976744186,706,41.7,45,590,131,22,470,10.9,260,206,79,1
"L_1385",335252,993820,"West Hill, Flotta",1,2,2,"Approved","AA005","07/06/2011","Orkney Islands","Scotland","Scotland","26/04/2004",NA,"01/07/2010","Large",2004,"S01004971",1.24,9.24,9.37,0.36,342.14,"S12000023",0.75,272.46,159.91,49.45,34.52,34.34,34.24,21.33,7.11,2.93,2.93,55,0.36,8.7,8030,12,21,0,0,0,21,0,"Ind",11,0,0,0,100,0,1021,48.9,54,887,258,29,612,12.7,511,389,76,1
"L_1386",379914,430561,"Hameldon Hill extension",3,2.5,7.5,"Approved","AA050","16/08/2013","Lancashire","North West","England","30/12/2009","17/04/2013","25/04/2013","Large",2009,"E01024888",35.37,6.07,0.63,3.58,116.92,"E07000117",0.63,1.53,26.87,33.55,1.01,1.44,1.36,33.51,9.04,9.04,6.33,182,0.41,6.5,2303,1,45,6,12,22,5,NA,"NOC",23,13.3333333333333,26.6666666666667,48.8888888888889,11.1111111111111,NA,1670,44.1,45,1413,345,24,528,21.6,723,607,84,1
"L_1387",490000,249090,"Milton Keynes Wind Farm",7,2,14,"Approved","EN00238","10/01/2011","Buckinghamshire","South East","England","18/08/2006","01/04/2010","25/09/2010","Large",2006,"E01016801",8.17,23.24,2.76,3.04,123.77,"E06000042",0.36,6.57,105.06,18.51,2.86,1.07,10.81,12.72,34.57,12.73,5.7,66,0.97,6.2,423,11,51,13,15,23,0,NA,"NOC",26,25.4901960784314,29.4117647058824,45.0980392156863,0,NA,1350,44.3,47,1119,417,37,370,38.6,565,401,71,1
"L_1388",336770,995385,"Flotta",1,1.75,1.8,"Approved","EN00066","27/02/2012","Orkney Islands","Scotland","Scotland","31/05/2002",NA,"01/06/2010","Large",2002,"S01004971",3.24,9.44,8.26,1.29,343.41,"S12000023",1.74,274.17,161.73,51.62,36.7,36.52,36.15,23.37,8.41,4.09,4.09,27,0.86,8.3,8030,12,21,0,0,0,21,0,"Ind",11,0,0,0,100,0,1021,48.9,54,887,258,29,612,12.7,511,389,76,1
"L_1390",302000,969500,"Hill of Lybster (Extension)",4,1.3,5.2,"Approved","N00065W","10/05/2016","Highland","Scotland","Scotland","05/01/2005","01/01/2007","01/07/2007","Large",2005,"S01003993",38.11,31.91,0.72,8.67,326.45,"S12000017",0.13,246.88,132.93,15.2,1.51,7.92,9.38,7.5,7.5,5.14,1.58,44,0.98,7.9,8018,12,80,0,8,9,57,6,"Ind",41,0,10,11.25,71.25,7.5,694,46.2,49,579,161,28,411,23.8,293,234,80,1
"L_1391",533235,306756,"Wryde Croft",13,2,26,"Approved","EN00455","15/02/2016","Cambridgeshire","Eastern","England","01/07/2006","01/09/2014","20/02/2016","Large",2006,"E01015618",30.36,31.94,6.92,1.92,51.97,"E06000031",0.49,22.93,89.39,21.05,2.46,2.67,9.86,5.47,6.23,5.47,5.47,0,2.72,6.2,525,11,57,34,4,5,14,NA,"Con",29,59.6491228070175,7.01754385964912,8.7719298245614,24.5614035087719,NA,1084,42.1,44,879,163,19,315,13,451,307,68,1
"L_1392",278940,186385,"Longlands Lane",1,1.5,1.5,"Approved","B0535","29/05/2015","Gwent","Wales","Wales","30/10/2012","30/09/2014","01/12/2014","Large",2012,"W01000933",22.75,15.4,0.02,1.47,35.3,"W06000012",2.7,0.41,23.91,2.97,0.27,9.45,0.45,10.55,2.97,23.49,0.8,6,0.45,5.4,7014,13,64,0,52,0,4,8,"Lab",33,0,81.25,0,6.25,12.5,1974,37.2,39,1521,517,34,599,32.1,741,660,89,1
"L_1393",651905,286095,"Wind Farm Africa Alive",2,2.05,4.1,"Approved","EN00330","13/09/2011","Suffolk","Eastern","England","18/12/2006","01/05/2011","01/06/2011","Large",2006,"E01030252",24.22,0.35,4.15,0.4,1.65,"E07000206",0.42,109.79,5.55,2,8.31,0.35,5.47,5.6,1.87,1.87,1.71,12,0.19,6.5,3507,1,48,29,12,3,4,NA,"Con",25,60.4166666666667,25,6.25,8.33333333333333,NA,1745,50.1,55,1519,248,16,445,16.9,815,644,79,1
