"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Old.Ref.ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","Censusboundaries","Airports","Aonb","Aroads","Broads","Hcoast","Localunitaryauthority","Minroads","Motorways","Nationalparks","Nnr","Powerlines","Primaryroads","Railway","Ramsar","Sacs","Spa","Sssi","Ukelevation","Urbanregions","Windspeed45","Code","Type","Council_size","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_share","Age_Total","Age_Mean","Age_Median","Qual_Total","Qual_Level4","Qual_PercentL4","SocialGradeTotal","SocialGradePercentAB","Tenure_Total","Tenure_Owned","PercentOwner"
"L_0367",381600,200400,"Lynch Knoll Wind Farm (Extension)",3,0.5,1.5,"Refused/Abandoned","N00005W","06/01/2010","Gloucestershire","South West","England","09/10/2000",NA,NA,"Large",2000,"E01022370",22.49,0,2.61,1.7,100.11,"E07000082",0.16,6.36,49.96,8.96,3.89,10.04,4.35,9.73,3.79,9.74,0.52,218,1.11,7.2,1605,1,55,24,18,5,8,NA,"NOC",28,43.6363636363636,32.7272727272727,9.09090909090909,14.5454545454545,NA,1240,44.5,48,1025,435,42,361,39.3,534,389,73
"L_0368",298800,915500,"Gartymore Wind Farm",14,0,10.5,"Refused/Abandoned","S0008W1","27/06/2003","Highland","Scotland","Scotland","19/10/1995",NA,NA,"Large",1995,"S01003968",33,32.26,2.93,20.44,276.42,"S12000017",2.43,193.02,79.17,20.9,2.51,2.57,2.52,13.25,3.16,5.38,2.43,337,2.25,11.2,8018,12,72,1,7,6,49,9,"Ind",37,1.38888888888889,9.72222222222222,8.33333333333333,68.0555555555556,12.5,864,49.2,52,749,146,19,493,9.5,445,285,64
"L_0369",229012,580345,"Corwar Wind Farm",8,2.05,16.4,"Refused/Abandoned","IF1159","31/03/2014","Strathclyde","Scotland","Scotland","10/12/2012",NA,NA,"Large",2012,"S01005523",47.29,32.05,0.67,3.01,92.3,"S12000028",2.94,64.29,96.05,18.01,7.78,17.85,6.55,17.04,6.28,13.71,2.14,186,5.41,7.1,8026,12,30,10,9,0,2,9,"NOC",16,33.3333333333333,30,0,6.66666666666667,30,788,46.5,50,680,157,23,476,10.1,343,232,68
"L_0370",383200,792000,"Meikle Carewe",14,1,14,"Refused/Abandoned","S0050W3","09/10/2006","Grampian","Scotland","Scotland","20/03/2000",NA,NA,"Large",2000,"S01000300",20.93,48.56,2.61,2.43,135.25,"S12000034",1.1,98.8,31.87,27.9,0.82,3.71,6.26,15.5,2.93,9.71,2.93,242,1.27,9.2,8001,12,43,6,22,12,0,3,"Lab",22,13.953488372093,51.1627906976744,27.906976744186,0,6.97674418604651,759,39.4,43,609,202,33,529,31.8,279,219,78
"L_0371",246810,654150,"Harelaw Renewable Energy Park (Resubmission)",39,3,117,"Refused/Abandoned","IF1178","07/02/2014","Strathclyde","Scotland","Scotland","19/05/2009",NA,NA,"Large",2009,"S01001678",10.43,29.8,2.67,2.87,146.92,"S12000011",0.35,4.31,28.23,24.99,1.06,5.4,2.8,15.61,11.76,12.79,3.46,196,2.11,8.2,8013,12,20,7,7,1,2,3,"NOC",11,35,35,5,10,15,832,39.6,44,687,180,26,608,24,316,300,95
"L_0372",280659,628236,"Penbreck & Carmacoup Forest",18,1.5,27,"Refused/Abandoned","N00016W","30/04/2009","Strathclyde","Scotland","Scotland","20/11/2000",NA,NA,"Large",2000,"S01005670",44.01,28.71,0.02,5.49,113.72,"S12000029",0.28,6.23,65.16,14.58,2.9,12.89,13.47,38.95,5.96,3.08,1.08,222,0,6.5,8027,12,67,2,54,1,0,10,"Lab",34,2.98507462686567,80.5970149253731,1.49253731343284,0,14.9253731343284,756,41.6,45,631,138,22,512,15,338,201,59
"L_0373",319500,257500,"Pentre Tump - Resubmission",3,1.5,4.5,"Refused/Abandoned","B0148","27/02/2014","Powys","Wales","Wales","13/07/2012",NA,NA,"Large",2012,"W01000484",73.68,17.41,2.63,3.31,111.58,"W06000023",1.22,52.58,15.04,6.66,14.09,1.06,10.62,46.11,6.98,23.82,0.25,347,0.98,7.2,7017,13,73,10,7,8,48,0,"Ind",37,13.6986301369863,9.58904109589041,10.958904109589,65.7534246575342,0,1562,47.1,51,1343,386,29,420,19.8,678,528,78
"L_0374",421723,299149,"Wienerberger Brick Works",1,2.5,2.5,"Refused/Abandoned","C1803","04/08/2015","Warwickshire","West Midlands","England","09/07/2013",NA,NA,"Large",2013,"E01031031",15.78,19.55,0.32,2.33,154.42,"E07000218",0.12,1.1,49.66,10.67,0.53,2.81,0.06,34.08,11.91,61.65,0.31,77,0.52,6.2,3701,1,35,17,18,0,0,NA,"Lab",18,48.5714285714286,51.4285714285714,0,0,NA,2583,37.6,38,2008,374,19,779,18.6,1015,695,68
"L_0375",638664,289263,"Laurels Farm - Resubmission",3,3,9,"Refused/Abandoned","A0417","31/05/2012","Suffolk","Eastern","England","08/07/2010",NA,NA,"Large",2010,"E01030286",11.19,8.1,3.2,0.45,14.24,"E07000206",0.4,99.09,0.58,13.59,0.18,3.39,3.52,2.35,2.35,2.35,2.35,28,0.48,6.2,3507,1,48,29,15,2,2,NA,"Con",25,60.4166666666667,31.25,4.16666666666667,4.16666666666667,NA,2185,44.8,48,1848,491,27,615,22.6,896,678,76
"L_0376",479861,379960,"Cottam Wind Farm",12,2.3,27.6,"Refused/Abandoned","AA130","25/11/2014","Nottinghamshire","East Midlands","England","03/03/2009",NA,NA,"Large",2009,"E01028033",16.69,33.83,4.57,7.09,67.28,"E07000171",0.28,19.31,48.91,20.4,0.7,4.02,0.83,30.98,18.7,25.79,1.08,6,1.18,6.2,3002,1,48,30,16,0,2,NA,"Con",25,62.5,33.3333333333333,0,4.16666666666667,NA,2296,43.2,46,1969,506,26,590,21.5,840,680,81
